"Date","Daily.AQI.Value","Local.Site.Name","AQS.Parameter.Description","County","Site.Latitude","Site.Longitude"
2024-03-01,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-02,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-03,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-04,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-05,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-06,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-07,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-08,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-09,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-10,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-11,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-12,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-13,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-14,87,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-15,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-16,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-17,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-18,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-19,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-21,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-22,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-23,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2024-03-24,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
