"lakename","year4","meantemp","sdtemp","meanTN","sdTN","meanTP","sdTP"
"Paul Lake",1991,21.38125,1.98736634770744,436.5,58.6992333851133,10.1875,4.6935239071157
"Paul Lake",1992,16.45,1.06066017177982,184.195,28.4469058071348,14.725,6.56902199722303
"Paul Lake",1993,19.3470588235294,3.51587785038439,244.505588235294,94.5584540403837,9.69364705882353,2.13123614192493
"Paul Lake",1994,19.9941176470588,2.69802487670038,427.106588235294,51.9974559594732,12.4384705882353,4.4627905524129
"Paul Lake",1995,22.2285714285714,3.82892404477542,352.792714285714,45.9718444827142,8.86392857142857,3.12069695036925
"Paul Lake",1996,19.28,2.94567479535674,293.8968,73.993397237186,9.9062,2.43274930890957
"Paul Lake",1997,19.2,5.18137690837741,406.13325,52.2255547561089,11.51725,2.54974997140242
"Paul Lake",1998,22.15,2.1439838307848,504.2025,127.910410820751,5.90425,2.63720323764906
"Paul Lake",1999,19.7,3.96063967897443,371.199,27.5194303356737,10.23725,4.42788108655446
"Peter Lake",1991,21.7,1.79888854574151,344.6875,81.2983958431325,10.25,5.40986752764489
"Peter Lake",1992,18.8,1.65453921077743,348.638235294118,131.971858185528,8.44117647058824,3.60366980027468
"Peter Lake",1993,19.1764705882353,3.42919987237634,482.719470588235,109.519584237317,26.4604117647059,9.18537537378593
"Peter Lake",1994,20.0529411764706,2.61417234680951,623.891647058824,157.112479532158,19.6157647058824,6.18306008916107
"Peter Lake",1995,22.1357142857143,3.67498972114882,573.580785714286,115.835353177343,18.4621428571429,4.26658654514973
"Peter Lake",1996,18.84,2.83954221662577,1423.1844,786.745731679429,40.9692,17.9403011736147
"Peter Lake",1997,19.725,4.88833645868749,960.40375,332.442596795672,25.6275,11.7589303510141
"Peter Lake",1998,22.325,2.05324945716134,551.66575,49.1463721033065,9.594,2.42834717452015
"Peter Lake",1999,19.875,3.98026381035227,570.5525,25.7763369585362,12.163,3.41412780467672
