"Date","Daily.AQI.Value","Local.Site.Name","AQS.Parameter.Description","County","Site.Latitude","Site.Longitude"
2024-08-10,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-13,36,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-16,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-19,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-22,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-25,48,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-28,54,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-08-31,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-03,17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-06,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-09,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-12,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-15,19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-18,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-21,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-09-24,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-11-08,27,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-11-11,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-11-14,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-11-17,19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-11-29,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-02,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-05,16,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-08,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-11,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
